Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T5 - AM - Tiet 2,GV1003 - Toan,GV1008 - Toan,GV1022 - Anh,GV1069 - Tin,GV1057 - Dia,GV1067 - QP,,GV1021 - SHL,GV1058 - Dia,,GV1028 - Anh,GV1018 - Van,GV1017 - Van,GVNN02 - AVNN,GV1010 - Toan,GV1054 - Su,GV1038 - Ly,GV1007 - Toan,GV1020 - Van,GV1006 - Toan,GV1009 - Toan,GV1066 - QP,GV1016 - Van,GV1023 - Anh,GV1029 - Anh,GV1042 - Hoa,GV1068 - Tin,GV1052 - Su,GV1025 - Anh,GV1005 - Toan,GV1063 - TD,GV1004 - Toan,GV1001 - Toan
T5 - AM - Tiet 3,GV1069 - Tin,GV1041 - Hoa,GV1022 - Anh,GV1058 - Dia,,GV1071 - Tin,GV1024 - Anh,GV1049 - Sinh,GV1032 - Ly,GV1019 - Van,GV1008 - Toan,GV1066 - QP,GV1005 - Toan,GV1027 - Anh,GV1037 - Ly,GV1035 - Ly,GV1056 - Dia,GV1044 - Hoa,GV1009 - SHL,GV1031 - Anh,GV1026 - Anh,GV1013 - Van,GV1025 - Anh,GV1039 - Hoa,GV1043 - Hoa,GV1045 - Sinh,GV1051 - Su,GV1007 - Toan,GV1042 - Hoa,GV1067 - QP,GV1003 - Toan,GV1011 - Van,GV1001 - Toan
T5 - AM - Tiet 4,GV1057 - Dia,GV1062 - TD,GV1003 - Toan,GV1033 - Ly,,GV1002 - SHL,GV1020 - Van,GV1021 - Van,GV1008 - Toan,GV1010 - Toan,GV1056 - Dia,GV1037 - Ly,GV1005 - Toan,GV1027 - Anh,GV1026 - Anh,GV1042 - Hoa,GV1017 - Van,GV1030 - Anh,GV1041 - Hoa,GV1034 - Ly,GV1054 - Su,GV1007 - Toan,GV1016 - Van,GV1004 - Toan,GV1043 - Hoa,GV1001 - Toan,GV1039 - Hoa,GV1022 - Anh,GV1025 - Anh,GV1045 - Sinh,GV1029 - Anh,GV1067 - QP,GV1012 - Van
T5 - AM - Tiet 5,,GV1016 - Van,GV1053 - Su,,GV1001 - Toan,GV1044 - Hoa,GV1020 - Van,GV1046 - CN,GV1008 - Toan,GV1019 - Van,GV1013 - Van,GV1018 - Van,GV1026 - Anh,GV1041 - Hoa,GV1015 - Van,GV1021 - Van,GV1017 - Van,GV1034 - Ly,GV1024 - Anh,GV1006 - Toan,GV1009 - Toan,GV1068 - Tin,GV1058 - Dia,GV1023 - Anh,GV1011 - Van,GV1066 - QP,GV1035 - Ly,GV1040 - Hoa,GV1025 - Anh,GV1028 - Anh,GV1029 - Anh,GV1004 - Toan,GV1071 - Tin
T5 - PM - Tiet 1,GV1036 - Ly,GV1031 - Anh,GV1017 - Van,GV1058 - Dia,GV1043 - Hoa,GV1027 - Anh,GV1057 - Dia,GV1021 - Van,GV1008 - Toan,GV1030 - Anh,GV1013 - Van,GV1004 - Toan,,GV1061 - SHL,GV1049 - Sinh,GV1025 - Anh,GV1070 - Tin,GV1016 - Van,GV1053 - Su,GVNN02 - AVNN,GV1035 - SHL,GV1042 - Hoa,GV1006 - Toan,GV1018 - Van,GV1007 - Toan,GV1019 - Van,GV1047 - Sinh,GV1067 - QP,GV1003 - Toan,GV1005 - Toan,GV1051 - Su,GV1022 - Anh,GV1001 - Toan
T5 - PM - Tiet 2,GV1067 - QP,GV1016 - Van,GV1057 - Dia,GV1058 - Dia,GV1012 - Van,GV1044 - Hoa,,GV1059 - GDCD,GV1008 - Toan,GV1039 - Hoa,GV1013 - Van,GV1018 - Van,GV1017 - Van,GV1002 - Toan,GV1015 - Van,GV1021 - Van,GV1065 - TD,GV1007 - Toan,GV1020 - Van,GV1031 - Anh,GV1009 - Toan,GV1060 - GDCD,GV1041 - Hoa,GV1064 - TD,GV1066 - QP,GV1025 - Anh,GV1005 - Toan,GV1071 - Tin,GV1052 - Su,GV1043 - Hoa,GV1029 - Anh,GV1038 - Ly,GV1023 - Anh
T5 - PM - Tiet 3,GV1036 - Ly,GVNN02 - AVNN,GV1069 - Tin,GV1059 - GDCD,GV1012 - Van,,GV1032 - Ly,GV1030 - Anh,GV1044 - Hoa,GV1010 - Toan,GV1040 - SHL,GV1018 - Van,GV1026 - Anh,GV1002 - Toan,GV1015 - SHL,GV1006 - Toan,GV1017 - Van,GV1016 - Van,GV1009 - Toan,GV1031 - Anh,GV1058 - Dia,GV1013 - Van,GV1063 - TD,GV1004 - Toan,GV1064 - TD,GV1066 - QP,GV1047 - Sinh,GV1007 - Toan,GV1003 - Toan,GV1067 - QP,GV1071 - Tin,GV1022 - Anh,GV1045 - Sinh
T5 - PM - Tiet 4,GV1003 - Toan,GV1054 - Su,GV1067 - QP,GV1023 - Anh,GV1046 - CN,GV1058 - Dia,GV1032 - Ly,GV1034 - Ly,GV1011 - Van,GV1039 - Hoa,GV1040 - Hoa,GV1004 - Toan,GV1005 - Toan,GV1041 - Hoa,GV1010 - Toan,GV1021 - Van,GV1060 - GDCD,GVNN03 - AVNN,GV1020 - Van,GV1006 - Toan,GV1009 - Toan,GV1007 - Toan,GV1025 - Anh,GV1018 - Van,GV1068 - Tin,GV1019 - Van,GV1051 - Su,GV1045 - Sinh,GV1047 - Sinh,GV1065 - TD,GV1048 - Sinh,GV1022 - Anh,GV1001 - Toan
T5 - PM - Tiet 5,GV1039 - Hoa,GV1016 - Van,GV1017 - Van,GV1009 - Toan,,GV1011 - Van,GV1010 - Toan,GV1064 - TD,GV1071 - Tin,GV1033 - Ly,GV1008 - Toan,GV1004 - Toan,GV1005 - Toan,GV1027 - Anh,GV1015 - Van,GV1021 - Van,GV1031 - Anh,GV1007 - Toan,GV1066 - QP,GV1006 - Toan,GV1026 - Anh,GV1013 - Van,GV1025 - Anh,GV1018 - Van,GV1051 - Su,GV1001 - Toan,GV1028 - Anh,GV1067 - QP,GV1003 - Toan,GV1035 - CN,GV1060 - GDCD,GV1038 - CN,GV1012 - Van
T6 - AM - Tiet 1,GV1024 - Anh,GV1061 - GDCD,GV1043 - Hoa,GV1009 - Toan,GVNN02 - AVNN,GV1027 - Anh,GV1057 - Dia,,GV1032 - Ly,GV1058 - Dia,GV1008 - Toan,GV1004 - Toan,GV1017 - Van,GV1020 - Van,GV1010 - Toan,GV1021 - Van,GV1038 - Ly,GV1007 - Toan,GV1063 - TD,GV1034 - Ly,GV1066 - QP,GV1048 - Sinh,GV1006 - Toan,GV1023 - Anh,GV1029 - Anh,GV1001 - Toan,GV1067 - QP,GV1018 - Van,GV1025 - Anh,GV1005 - Toan,GV1003 - Toan,GV1011 - Van,GV1045 - Sinh
