Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T4 - PM - Tiet 3,GV1024 - Anh,GV1046 - CN,GV1062 - TD,GV1033 - Ly,GV1069 - Tin,GV1027 - Anh,GV1010 - Toan,GV1002 - Toan,GV1071 - Tin,GVNN01 - AVNN,GV1056 - Dia,GV1073 - CN,GV1005 - Toan,GV1035 - Ly,GV1015 - Van,GV1021 - Van,GVNN02 - AVNN,GV1007 - Toan,GV1009 - Toan,GV1063 - TD,GV1044 - Hoa,GV1013 - Van,GV1006 - Toan,GV1004 - Toan,GV1029 - Anh,GV1025 - Anh,GV1067 - QP,GV1045 - Sinh,GV1042 - Hoa,GV1028 - Anh,GV1003 - Toan,GV1040 - Hoa,GV1023 - Anh
T4 - PM - Tiet 4,GV1057 - Dia,GV1069 - Tin,GV1003 - Toan,GV1013 - SHL,GV1029 - Anh,,GV1032 - Ly,GV1030 - Anh,GV1058 - Dia,,GV1040 - SHL,GV1042 - Hoa,GVNN01 - AVNN,GV1061 - SHL,GV1010 - Toan,GV1025 - Anh,GV1017 - Van,GV1063 - TD,GV1024 - Anh,GV1049 - Sinh,GV1009 - Toan,GV1027 - Anh,GV1016 - Van,GV1023 - Anh,GV1007 - Toan,GV1051 - Su,GV1005 - Toan,GV1067 - QP,GV1052 - Su,GV1043 - Hoa,GV1015 - Van,GV1004 - Toan,GV1001 - Toan
T4 - PM - Tiet 5,GV1076 - Van,,GV1057 - Dia,GV1039 - Hoa,,GV1011 - Van,GV1044 - Hoa,GV1002 - Toan,GV1059 - GDCD,GV1071 - Tin,GV1065 - TD,GV1030 - Anh,GV1017 - Van,GV1020 - Van,GV1010 - Toan,GV1070 - Tin,GV1066 - QP,GV1034 - Ly,GV1060 - GDCD,GV1006 - Toan,GV1009 - Toan,GV1013 - Van,GV1016 - Van,GV1018 - Van,GV1007 - Toan,GV1037 - CN,GV1064 - TD,GV1022 - Anh,GV1067 - QP,GV1052 - Su,GV1003 - Toan,GV1004 - Toan,GV1001 - Toan
T5 - AM - Tiet 1,GV1024 - Anh,GV1031 - Anh,GV1043 - Hoa,GV1013 - Van,GV1001 - Toan,GVNN03 - AVNN,GV1044 - Hoa,GV1021 - Van,GV1071 - Tin,GV1019 - Van,GV1008 - Toan,GV1030 - Anh,GV1017 - Van,GV1027 - Anh,GV1049 - Sinh,GV1006 - Toan,GV1010 - Toan,GV1007 - Toan,GV1041 - Hoa,GV1060 - GDCD,GV1066 - QP,GV1077 - Ly,GV1045 - Sinh,GV1039 - Hoa,GV1011 - Van,GV1025 - Anh,GV1035 - Ly,GV1018 - Van,GV1052 - Su,GV1067 - QP,GV1015 - Van,GV1022 - Anh,GV1037 - Ly
T5 - AM - Tiet 2,GV1003 - Toan,GV1058 - Dia,GV1022 - Anh,GV1069 - Tin,GVNN02 - AVNN,GV1044 - Hoa,GV1024 - Anh,GV1034 - Ly,,GV1039 - Hoa,GV1066 - QP,GV1037 - Ly,GV1065 - TD,GV1002 - Toan,GV1010 - Toan,GV1021 - Van,GV1017 - Van,GV1016 - Van,GVNN01 - AVNN,GV1006 - Toan,GV1026 - Anh,GV1013 - Van,GV1063 - TD,GV1018 - Van,GV1029 - Anh,GV1019 - Van,GV1067 - QP,GV1007 - Toan,GV1047 - Sinh,GV1005 - Toan,GV1015 - Van,GV1004 - Toan,GV1045 - Sinh
T5 - AM - Tiet 3,GV1076 - Van,GV1058 - Dia,,GV1013 - Van,GV1032 - Ly,GV1059 - GDCD,GV1051 - Su,GV1071 - Tin,GV1011 - Van,GV1033 - Ly,GV1008 - Toan,GV1042 - Hoa,GV1040 - Hoa,GV1050 - Su,GV1065 - TD,GVNN01 - AVNN,GV1041 - Hoa,GV1044 - Hoa,GV1020 - Van,GV1031 - SHL,GV1026 - Anh,GV1007 - Toan,GV1006 - Toan,GV1039 - Hoa,GV1043 - Hoa,GV1001 - Toan,GV1047 - Sinh,GV1022 - Anh,GV1003 - Toan,GV1045 - Sinh,GV1048 - Sinh,GV1038 - CN,GV1023 - Anh
T5 - AM - Tiet 4,GV1036 - Ly,GV1016 - Van,GV1017 - Van,GVNN01 - AVNN,GV1029 - Anh,GV1044 - Hoa,GV1064 - TD,GV1041 - Hoa,GV1008 - Toan,GV1019 - Van,GV1045 - Sinh,GV1037 - Ly,GV1026 - Anh,GV1020 - Van,GV1010 - Toan,GV1006 - Toan,GV1065 - TD,GV1073 - CN,GV1048 - Sinh,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1068 - Tin,GV1018 - Van,GV1011 - Van,GV1025 - Anh,GV1051 - Su,GV1032 - Ly,GV1033 - Ly,GV1067 - QP,GV1015 - Van,GV1004 - Toan,GV1052 - Su
T5 - AM - Tiet 5,GV1036 - Ly,GV1031 - Anh,GV1067 - QP,,GV1029 - Anh,GV1044 - Hoa,GV1057 - Dia,GV1021 - Van,GV1071 - Tin,GV1039 - Hoa,GV1008 - Toan,GV1065 - TD,GV1038 - Ly,GV1020 - Van,GV1056 - Dia,GV1047 - SHL,GV1010 - Toan,GV1030 - Anh,GV1009 - Toan,GV1034 - Ly,GV1018 - Van,GV1077 - Ly,GV1016 - Van,GV1068 - Tin,GV1007 - Toan,GV1019 - Van,GV1064 - TD,GV1052 - Su,GV1025 - Anh,GV1005 - Toan,GV1032 - Ly,GV1011 - Van,GV1037 - Ly
T5 - PM - Tiet 1,GVNN01 - AVNN,GV1008 - Toan,,GV1039 - Hoa,GV1069 - Tin,GV1036 - Ly,GV1057 - Dia,GV1002 - Toan,GV1032 - Ly,GV1010 - Toan,GV1013 - Van,GV1018 - Van,GV1017 - Van,GV1070 - Tin,GV1026 - Anh,GV1042 - Hoa,GV1065 - TD,GV1034 - Ly,GV1063 - TD,GV1031 - Anh,GV1009 - Toan,GV1060 - GDCD,GV1077 - Ly,GV1004 - Toan,GV1038 - Ly,GV1019 - Van,GV1005 - Toan,GV1007 - Toan,GV1067 - QP,GV1045 - Sinh,GV1003 - Toan,GV1040 - Hoa,GV1001 - Toan
T5 - PM - Tiet 2,GV1061 - GDCD,GV1046 - Sinh,,GV1023 - Anh,GV1029 - Anh,GV1071 - Tin,GV1020 - Van,GV1030 - Anh,GV1058 - Dia,GV1049 - Sinh,GVNN02 - AVNN,GV1054 - Su,GV1056 - Dia,GV1073 - CN,GV1026 - Anh,GV1035 - Ly,GV1010 - Toan,GV1044 - Hoa,GV1037 - Ly,GV1006 - Toan,GV1018 - Van,GV1013 - Van,GV1060 - GDCD,GV1004 - Toan,GV1011 - Van,GV1001 - Toan,GV1039 - Hoa,GV1007 - Toan,GV1033 - Ly,GV1019 - Van,GV1042 - Hoa,GV1040 - Hoa,GV1067 - QP
